name,species,breed,origin,age_months,gender,health_status,vaccination_status,size,energy_level,exercise_needs,training_needs,trained_level,child_friendly_score,pet_friendly_score,stranger_friendly_score,needs_yard,can_live_in_apartment,grooming_needs,estimated_monthly_cost,noise_level,can_be_left_alone,max_hours_alone,requires_experienced_owner,temperament_tags,description,adoption_success
Buddy,Dog,Rajapalayam,Indian,2,male,healthy,up_to_date,large,5,high,high,intermediate,6,3,4,True,False,low,2300.0,moderate,True,5,True,"loyal,protective,independent,brave,reserved","Royal Tamil Nadu sighthound. One-person dog — extremely loyal to owner, aloof with strangers. Needs experienced handler.",True
Simba,Dog,Cocker Spaniel,International,3,female,healthy,up_to_date,medium,4,moderate,moderate,intermediate,9,8,8,False,True,high,4100.0,moderate,True,6,False,"gentle,happy,adaptable,playful,affectionate",Cheerful family dog. Adapts well to apartment life. Requires regular professional grooming and vet ear checkups.,True
Bruno,Dog,Indian Spitz,Indian,4,male,healthy,up_to_date,small,5,moderate,moderate,intermediate,8,7,5,False,True,high,1800.0,vocal,True,7,False,"playful,loyal,alert,vocal,adaptable","Most popular Indian apartment dog. Fluffy, affectionate, highly adaptable. Barks frequently — good watchdog.",True
Chhotu,Dog,Kanni,Indian,13,female,healthy,up_to_date,medium,3,high,moderate,basic,5,6,3,True,False,low,1700.0,quiet,True,6,True,"gentle,loyal,agile,reserved,graceful",Rare Tamil Nadu breed. Gentle with family once bonded. Requires open space and an experienced owner.,False
Cleo,Cat,Indian Domestic Short Hair,Indian,116,male,healthy,up_to_date,medium,2,moderate,low,basic,7,7,6,False,True,low,1400.0,moderate,True,11,False,"adaptable,independent,hardy,curious,low-maintenance","Most common cat in Indian homes. Hardy, healthy, and extremely adaptable. Perfect for first-time cat owners.",False
Chiku,Dog,Great Dane,International,22,female,minor_condition,up_to_date,large,2,moderate,moderate,intermediate,8,7,6,True,False,low,7400.0,moderate,True,4,False,"friendly,patient,gentle-giant,calm,devoted",Gentle giant. Calm indoors but needs space due to size. High food and vet costs. Short lifespan 7-10 years.,True
Mocha,Dog,Shih Tzu,International,4,male,healthy,up_to_date,small,2,minimal,moderate,basic,8,8,9,False,True,high,3100.0,quiet,True,9,False,"affectionate,calm,adaptable,gentle,lap-dog",Excellent apartment dog. Loves attention. Needs extensive daily grooming. Good with children.,True
Sona,Dog,Dachshund,International,25,male,healthy,not_vaccinated,small,3,moderate,moderate,basic,6,5,6,False,True,low,2900.0,vocal,True,7,False,"curious,lively,stubborn,playful,vocal",Compact apartment dog. Stubborn but charming. Avoid stairs climbing — prone to spinal issues.,True
Raja,Dog,Indie (Rescued),Indian,118,female,healthy,partial,medium,2,moderate,moderate,untrained,6,7,4,False,True,low,1300.0,moderate,True,5,False,"resilient,loyal,shy-at-first,adaptable,grateful","Shelter/rescue Indie. May take time to trust. Once bonded, extremely loyal. Very healthy and low maintenance.",True
Pudding,Dog,Jonangi,Indian,62,female,healthy,partial,medium,4,high,moderate,basic,8,6,3,False,True,low,1300.0,quiet,True,5,False,"quiet,one-owner,loyal,agile,unusual-vocalization",Andhra Pradesh duck-herding dog. Uniquely doesn't bark — yodels instead. Low maintenance. Can be aloof with strangers.,True
Rocky,Dog,Indian Spitz,Indian,91,male,healthy,up_to_date,small,2,moderate,moderate,intermediate,7,7,7,False,True,high,2300.0,vocal,True,8,False,"playful,loyal,alert,vocal,adaptable","Most popular Indian apartment dog. Fluffy, affectionate, highly adaptable. Barks frequently — good watchdog.",True
Kali,Dog,Great Dane,International,19,female,serious_condition,up_to_date,large,2,moderate,moderate,intermediate,8,6,6,True,False,low,7700.0,moderate,True,5,False,"friendly,patient,gentle-giant,calm,devoted",Gentle giant. Calm indoors but needs space due to size. High food and vet costs. Short lifespan 7-10 years.,False
Pudding,Dog,Indie (Rescued),Indian,37,male,healthy,up_to_date,medium,3,moderate,moderate,untrained,6,6,3,False,True,low,1500.0,moderate,True,6,False,"resilient,loyal,shy-at-first,adaptable,grateful","Shelter/rescue Indie. May take time to trust. Once bonded, extremely loyal. Very healthy and low maintenance.",False
Tiger,Dog,Doberman Pinscher,International,2,female,healthy,up_to_date,large,5,high,high,intermediate,7,5,1,True,False,low,4600.0,moderate,True,5,True,"intelligent,alert,protective,energetic,loyal",Popular guard dog in India. Highly intelligent and trainable. Needs extensive exercise and mental stimulation.,True
Moti,Dog,Indian Spitz,Indian,5,male,healthy,up_to_date,small,3,moderate,moderate,intermediate,8,6,6,False,True,high,1700.0,vocal,True,8,False,"playful,loyal,alert,vocal,adaptable","Most popular Indian apartment dog. Fluffy, affectionate, highly adaptable. Barks frequently — good watchdog.",True
Max,Dog,Pomeranian,International,2,male,healthy,up_to_date,small,4,moderate,moderate,intermediate,5,5,6,False,True,high,3000.0,vocal,True,7,False,"alert,bold,fluffy,vocal,attention-seeking",Popular apartment dog. Fluffy and bold. Not ideal with very young children. Vocal watchdog.,False
Leo,Dog,Pug,International,4,male,healthy,partial,small,4,minimal,moderate,basic,9,9,8,False,True,low,3300.0,moderate,True,7,False,"charming,mischievous,loving,calm,social",Made famous by Indian TV ads. Great apartment dog. Brachycephalic — avoid exercise in peak summer heat.,True
Pudding,Dog,Indian Spitz,Indian,18,male,healthy,partial,small,3,moderate,moderate,intermediate,8,7,6,False,True,high,1900.0,vocal,True,8,False,"playful,loyal,alert,vocal,adaptable","Most popular Indian apartment dog. Fluffy, affectionate, highly adaptable. Barks frequently — good watchdog.",False
Chiku,Dog,Doberman Pinscher,International,38,female,minor_condition,partial,large,4,high,high,intermediate,4,5,3,True,False,low,4300.0,moderate,True,7,True,"intelligent,alert,protective,energetic,loyal",Popular guard dog in India. Highly intelligent and trainable. Needs extensive exercise and mental stimulation.,True
Moti,Dog,Mixed Breed (Indian Street),Indian,15,female,healthy,up_to_date,medium,3,moderate,moderate,basic,6,6,7,False,True,low,1500.0,moderate,True,6,False,"resilient,adaptable,loyal,intelligent,low-maintenance",Rescued street dog. Extremely resilient and healthy. Deeply loyal once they trust you. Most affordable to maintain.,False
Buddy,Dog,Indie (Rescued),Indian,2,male,healthy,not_vaccinated,medium,4,moderate,moderate,untrained,7,7,5,False,True,low,1500.0,moderate,True,6,False,"resilient,loyal,shy-at-first,adaptable,grateful","Shelter/rescue Indie. May take time to trust. Once bonded, extremely loyal. Very healthy and low maintenance.",True
Bruno,Dog,Rajapalayam,Indian,11,female,minor_condition,up_to_date,large,4,high,high,intermediate,4,3,3,True,False,low,2200.0,moderate,True,5,True,"loyal,protective,independent,brave,reserved","Royal Tamil Nadu sighthound. One-person dog — extremely loyal to owner, aloof with strangers. Needs experienced handler.",False
Rani,Dog,Boxer,International,45,female,minor_condition,partial,large,4,high,moderate,intermediate,9,6,6,True,False,low,3900.0,moderate,False,4,False,"playful,loyal,energetic,funny,protective",Playful family dog. Excellent with children. Brachycephalic — needs shade in Indian summers. Very energetic.,True
Socks,Cat,Himalayan,International,13,male,healthy,up_to_date,medium,1,minimal,low,basic,5,8,5,False,True,high,4800.0,quiet,True,9,False,"calm,gentle,affectionate,quiet,lap-cat","Persian-Siamese cross. Calm like Persian, slightly more playful. Requires daily grooming and AC in summer.",True
Charlie,Dog,Cocker Spaniel,International,93,female,healthy,up_to_date,medium,2,moderate,moderate,intermediate,9,8,7,False,True,high,3400.0,moderate,True,6,False,"gentle,happy,adaptable,playful,affectionate",Cheerful family dog. Adapts well to apartment life. Requires regular professional grooming and vet ear checkups.,True
Billi,Cat,Indian Domestic Short Hair,Indian,4,female,healthy,partial,medium,4,moderate,low,basic,8,6,4,False,True,low,1300.0,moderate,True,9,False,"adaptable,independent,hardy,curious,low-maintenance","Most common cat in Indian homes. Hardy, healthy, and extremely adaptable. Perfect for first-time cat owners.",True
Bhola,Dog,Mixed Breed (Indian Street),Indian,18,male,healthy,up_to_date,medium,3,moderate,moderate,basic,7,6,3,False,True,low,1400.0,moderate,True,7,False,"resilient,adaptable,loyal,intelligent,low-maintenance",Rescued street dog. Extremely resilient and healthy. Deeply loyal once they trust you. Most affordable to maintain.,True
Raja,Dog,Great Dane,International,56,male,serious_condition,up_to_date,large,2,moderate,moderate,intermediate,9,6,7,True,False,low,6900.0,moderate,True,4,False,"friendly,patient,gentle-giant,calm,devoted",Gentle giant. Calm indoors but needs space due to size. High food and vet costs. Short lifespan 7-10 years.,True
Sundari,Cat,Persian,International,14,female,healthy,partial,medium,1,minimal,low,basic,7,6,3,False,True,high,3600.0,quiet,True,10,False,"calm,gentle,quiet,affectionate,lap-cat",Most popular purebred cat in India. Calm and gentle. Requires daily grooming and AC in Indian summers.,True
Buddy,Dog,Labrador Retriever,International,5,male,minor_condition,partial,large,4,high,moderate,intermediate,10,9,10,True,False,moderate,4600.0,moderate,True,5,False,"friendly,outgoing,gentle,trainable,family-dog",Most popular family dog in India. Excellent with children. Needs daily exercise and mental stimulation.,True
Jasmine,Cat,Russian Blue,International,12,male,healthy,up_to_date,medium,2,minimal,low,intermediate,6,6,1,False,True,low,5000.0,quiet,True,10,False,"shy,gentle,loyal,quiet,independent",Elegant blue-coated cat. Shy with strangers but deeply loyal to family. Dislikes loud environments.,True
Golu,Dog,Boxer,International,1,female,healthy,partial,large,5,high,moderate,intermediate,9,6,5,True,False,low,3900.0,moderate,False,4,False,"playful,loyal,energetic,funny,protective",Playful family dog. Excellent with children. Brachycephalic — needs shade in Indian summers. Very energetic.,True
Shadow,Dog,Pomeranian,International,5,female,healthy,up_to_date,small,4,moderate,moderate,intermediate,5,4,6,False,True,high,2900.0,vocal,True,7,False,"alert,bold,fluffy,vocal,attention-seeking",Popular apartment dog. Fluffy and bold. Not ideal with very young children. Vocal watchdog.,False
Sona,Dog,Indian Pariah Dog,Indian,1,male,healthy,up_to_date,medium,5,high,moderate,basic,7,7,4,False,True,low,1300.0,moderate,True,7,False,"alert,loyal,intelligent,independent,hardy","Ancient landrace breed, extremely hardy and healthy. Highly adaptable to Indian climate. Intelligent and loyal to family.",False
Storm,Dog,Rajapalayam,Indian,64,male,healthy,partial,large,4,high,high,intermediate,6,3,3,True,False,low,2400.0,moderate,True,5,True,"loyal,protective,independent,brave,reserved","Royal Tamil Nadu sighthound. One-person dog — extremely loyal to owner, aloof with strangers. Needs experienced handler.",False
Socks,Cat,Bengal,International,1,female,healthy,partial,medium,5,high,moderate,basic,5,5,5,False,True,low,5800.0,vocal,True,6,True,"wild-look,energetic,playful,mischievous,athletic",Wild-looking cat with leopard spots. Extremely active and curious. Not a lap cat. Needs vertical space to climb.,False
Sheru,Dog,Mixed Breed (Indian Street),Indian,7,male,healthy,not_vaccinated,medium,3,moderate,moderate,basic,8,5,6,False,True,low,1500.0,moderate,True,8,False,"resilient,adaptable,loyal,intelligent,low-maintenance",Rescued street dog. Extremely resilient and healthy. Deeply loyal once they trust you. Most affordable to maintain.,False
Nala,Cat,Siamese,International,5,female,minor_condition,up_to_date,medium,5,moderate,moderate,intermediate,8,4,5,False,True,low,3300.0,vocal,True,8,False,"vocal,social,intelligent,demanding,affectionate",Very chatty and social. Demands attention. Dislikes being alone long. Bonds deeply with one person.,True
Raja,Dog,Indian Spitz,Indian,17,male,healthy,not_vaccinated,small,3,moderate,moderate,intermediate,8,8,6,False,True,high,2100.0,vocal,True,7,False,"playful,loyal,alert,vocal,adaptable","Most popular Indian apartment dog. Fluffy, affectionate, highly adaptable. Barks frequently — good watchdog.",True
Arjun,Dog,Indie (Rescued),Indian,45,female,healthy,up_to_date,medium,2,moderate,moderate,untrained,6,5,5,False,True,low,1400.0,moderate,True,7,False,"resilient,loyal,shy-at-first,adaptable,grateful","Shelter/rescue Indie. May take time to trust. Once bonded, extremely loyal. Very healthy and low maintenance.",False
Storm,Dog,Pomeranian,International,18,male,minor_condition,up_to_date,small,4,moderate,moderate,intermediate,5,5,4,False,True,high,2800.0,vocal,True,6,False,"alert,bold,fluffy,vocal,attention-seeking",Popular apartment dog. Fluffy and bold. Not ideal with very young children. Vocal watchdog.,False
Pearl,Cat,Ragdoll,International,45,male,healthy,partial,large,2,minimal,low,intermediate,9,7,9,False,True,high,6300.0,quiet,True,8,False,"docile,gentle,floppy,affectionate,calm",Goes limp when held — hence Ragdoll. Extremely gentle. Perfect for families with children. Needs regular brushing.,True
Diesel,Dog,Kanni,Indian,10,female,minor_condition,partial,medium,4,high,moderate,basic,5,4,3,True,False,low,2100.0,quiet,True,5,True,"gentle,loyal,agile,reserved,graceful",Rare Tamil Nadu breed. Gentle with family once bonded. Requires open space and an experienced owner.,True
Hero,Dog,German Shepherd,International,16,male,healthy,up_to_date,large,4,high,moderate,intermediate,7,5,4,True,False,moderate,4500.0,moderate,True,5,False,"loyal,protective,intelligent,versatile,brave",Highly intelligent working dog. Loyal protector. Needs consistent training and daily exercise.,True
Charlie,Dog,Indian Spitz,Indian,61,male,healthy,partial,small,3,moderate,moderate,intermediate,9,7,5,False,True,high,2200.0,vocal,True,7,False,"playful,loyal,alert,vocal,adaptable","Most popular Indian apartment dog. Fluffy, affectionate, highly adaptable. Barks frequently — good watchdog.",False
Chhotu,Dog,Rajapalayam,Indian,18,female,healthy,partial,large,4,high,high,intermediate,4,4,2,True,False,low,2600.0,moderate,True,4,True,"loyal,protective,independent,brave,reserved","Royal Tamil Nadu sighthound. One-person dog — extremely loyal to owner, aloof with strangers. Needs experienced handler.",True
Diesel,Dog,Mixed Breed (Indian Street),Indian,13,male,healthy,partial,medium,3,moderate,moderate,basic,7,5,5,False,True,low,1500.0,moderate,True,7,False,"resilient,adaptable,loyal,intelligent,low-maintenance",Rescued street dog. Extremely resilient and healthy. Deeply loyal once they trust you. Most affordable to maintain.,False
Jimmy,Dog,Mixed Breed (Indian Street),Indian,88,female,healthy,not_vaccinated,medium,2,moderate,moderate,basic,7,6,6,False,True,low,1600.0,moderate,True,6,False,"resilient,adaptable,loyal,intelligent,low-maintenance",Rescued street dog. Extremely resilient and healthy. Deeply loyal once they trust you. Most affordable to maintain.,False
Kali,Dog,Boxer,International,25,male,healthy,partial,large,4,high,moderate,intermediate,9,6,6,True,False,low,4200.0,moderate,False,3,False,"playful,loyal,energetic,funny,protective",Playful family dog. Excellent with children. Brachycephalic — needs shade in Indian summers. Very energetic.,True
Golu,Dog,Labrador Retriever,International,35,female,healthy,up_to_date,large,4,high,moderate,intermediate,10,8,8,True,False,moderate,3900.0,moderate,True,5,False,"friendly,outgoing,gentle,trainable,family-dog",Most popular family dog in India. Excellent with children. Needs daily exercise and mental stimulation.,True
Kalu,Dog,Labrador Retriever,International,4,male,healthy,up_to_date,large,5,high,moderate,intermediate,10,9,10,True,False,moderate,4200.0,moderate,True,5,False,"friendly,outgoing,gentle,trainable,family-dog",Most popular family dog in India. Excellent with children. Needs daily exercise and mental stimulation.,True
Kitty,Cat,Indian Street Cat (Rescued),Indian,30,male,healthy,partial,medium,3,minimal,low,basic,6,6,5,False,True,low,900.0,quiet,True,10,False,"independent,cautious,adaptable,resilient,gentle",Rescued street cat. Takes time to adjust indoors. Very hardy. Lowest cost cat to maintain in India.,False
Mimi,Cat,Maine Coon,International,88,male,healthy,not_vaccinated,large,2,moderate,moderate,basic,7,8,7,False,True,high,4900.0,moderate,True,7,False,"gentle-giant,dog-like,playful,friendly,social",Largest domestic cat breed. Dog-like personality. Loves water. Needs AC in Indian summers due to long coat.,True
Sundari,Cat,Persian,International,55,male,serious_condition,not_vaccinated,medium,1,minimal,low,basic,6,6,4,False,True,high,4300.0,quiet,True,10,False,"calm,gentle,quiet,affectionate,lap-cat",Most popular purebred cat in India. Calm and gentle. Requires daily grooming and AC in Indian summers.,False
Diesel,Dog,Pomeranian,International,70,female,healthy,up_to_date,small,3,moderate,moderate,intermediate,5,5,4,False,True,high,3300.0,vocal,True,7,False,"alert,bold,fluffy,vocal,attention-seeking",Popular apartment dog. Fluffy and bold. Not ideal with very young children. Vocal watchdog.,False
Charlie,Dog,Pug,International,15,male,healthy,up_to_date,small,1,minimal,moderate,basic,9,7,8,False,True,low,3500.0,moderate,True,7,False,"charming,mischievous,loving,calm,social",Made famous by Indian TV ads. Great apartment dog. Brachycephalic — avoid exercise in peak summer heat.,True
Storm,Dog,Indian Pariah Dog,Indian,3,male,serious_condition,not_vaccinated,medium,5,high,moderate,basic,7,6,5,False,True,low,1400.0,moderate,True,7,False,"alert,loyal,intelligent,independent,hardy","Ancient landrace breed, extremely hardy and healthy. Highly adaptable to Indian climate. Intelligent and loyal to family.",False
Kalu,Dog,Pomeranian,International,71,male,serious_condition,not_vaccinated,small,3,moderate,moderate,intermediate,6,6,5,False,True,high,2900.0,vocal,True,8,False,"alert,bold,fluffy,vocal,attention-seeking",Popular apartment dog. Fluffy and bold. Not ideal with very young children. Vocal watchdog.,False
Kitty,Cat,British Shorthair,International,10,female,minor_condition,up_to_date,medium,2,minimal,low,basic,6,6,6,False,True,moderate,3900.0,quiet,True,9,False,"calm,easygoing,independent,gentle,round-face",Very easy-going and calm. Tolerates being alone well. Does not demand constant attention — ideal for working adults.,False
Shadow,Dog,Labrador Retriever,International,1,female,healthy,up_to_date,large,5,high,moderate,intermediate,9,9,9,True,False,moderate,4100.0,moderate,True,5,False,"friendly,outgoing,gentle,trainable,family-dog",Most popular family dog in India. Excellent with children. Needs daily exercise and mental stimulation.,True
Laila,Dog,Rajapalayam,Indian,40,female,minor_condition,up_to_date,large,4,high,high,intermediate,5,4,1,True,False,low,2500.0,moderate,True,4,True,"loyal,protective,independent,brave,reserved","Royal Tamil Nadu sighthound. One-person dog — extremely loyal to owner, aloof with strangers. Needs experienced handler.",True
Max,Dog,Great Dane,International,57,male,minor_condition,partial,large,2,moderate,moderate,intermediate,9,6,6,True,False,low,6800.0,moderate,True,4,False,"friendly,patient,gentle-giant,calm,devoted",Gentle giant. Calm indoors but needs space due to size. High food and vet costs. Short lifespan 7-10 years.,True
Simba,Dog,Beagle,International,4,female,healthy,partial,medium,5,high,high,basic,10,9,8,True,False,low,3800.0,vocal,False,3,False,"curious,merry,friendly,vocal,scent-driven","Popular family dog. Follows nose everywhere — needs secure yard. Vocal breed, can disturb neighbors.",True
Rocky,Dog,Jonangi,Indian,57,female,serious_condition,up_to_date,medium,4,high,moderate,basic,8,6,7,False,True,low,1700.0,quiet,True,6,False,"quiet,one-owner,loyal,agile,unusual-vocalization",Andhra Pradesh duck-herding dog. Uniquely doesn't bark — yodels instead. Low maintenance. Can be aloof with strangers.,True
Tiger,Dog,Dachshund,International,18,male,serious_condition,up_to_date,small,2,moderate,moderate,basic,6,6,4,False,True,low,2700.0,vocal,True,7,False,"curious,lively,stubborn,playful,vocal",Compact apartment dog. Stubborn but charming. Avoid stairs climbing — prone to spinal issues.,False
Cheeni,Cat,Indian Domestic Short Hair,Indian,14,female,healthy,partial,medium,3,moderate,low,basic,8,7,6,False,True,low,1100.0,moderate,True,9,False,"adaptable,independent,hardy,curious,low-maintenance","Most common cat in Indian homes. Hardy, healthy, and extremely adaptable. Perfect for first-time cat owners.",True
Tiger,Dog,Indian Pariah Dog,Indian,2,male,healthy,up_to_date,medium,5,high,moderate,basic,8,6,3,False,True,low,1400.0,moderate,True,6,False,"alert,loyal,intelligent,independent,hardy","Ancient landrace breed, extremely hardy and healthy. Highly adaptable to Indian climate. Intelligent and loyal to family.",True
Mittens,Cat,Persian,International,35,male,healthy,not_vaccinated,medium,1,minimal,low,basic,7,7,5,False,True,high,3900.0,quiet,True,9,False,"calm,gentle,quiet,affectionate,lap-cat",Most popular purebred cat in India. Calm and gentle. Requires daily grooming and AC in Indian summers.,True
Pearl,Cat,Himalayan,International,68,female,healthy,not_vaccinated,medium,1,minimal,low,basic,7,7,5,False,True,high,4500.0,quiet,True,9,False,"calm,gentle,affectionate,quiet,lap-cat","Persian-Siamese cross. Calm like Persian, slightly more playful. Requires daily grooming and AC in summer.",False
Max,Dog,Pandikona,Indian,64,female,minor_condition,up_to_date,medium,4,high,moderate,basic,5,5,1,True,False,low,1600.0,moderate,True,5,True,"protective,primitive,loyal,independent","Andhra Pradesh primitive breed. Loyal to owner, wary of strangers. Hardy, low maintenance, suited to rural areas.",True
Mango,Cat,Maine Coon,International,4,male,minor_condition,not_vaccinated,large,4,moderate,moderate,basic,9,9,8,False,True,high,4400.0,moderate,True,9,False,"gentle-giant,dog-like,playful,friendly,social",Largest domestic cat breed. Dog-like personality. Loves water. Needs AC in Indian summers due to long coat.,True
Leo,Dog,Mixed Breed (Indian Street),Indian,1,female,healthy,partial,medium,5,moderate,moderate,basic,8,7,4,False,True,low,1600.0,moderate,True,8,False,"resilient,adaptable,loyal,intelligent,low-maintenance",Rescued street dog. Extremely resilient and healthy. Deeply loyal once they trust you. Most affordable to maintain.,True
Bhola,Dog,Mixed Breed (Indian Street),Indian,56,male,healthy,partial,medium,3,moderate,moderate,basic,7,7,5,False,True,low,1400.0,moderate,True,7,False,"resilient,adaptable,loyal,intelligent,low-maintenance",Rescued street dog. Extremely resilient and healthy. Deeply loyal once they trust you. Most affordable to maintain.,True
Shadow,Cat,Indian Street Cat (Rescued),Indian,3,female,healthy,up_to_date,medium,3,minimal,low,basic,7,4,3,False,True,low,900.0,quiet,True,10,False,"independent,cautious,adaptable,resilient,gentle",Rescued street cat. Takes time to adjust indoors. Very hardy. Lowest cost cat to maintain in India.,True
Sheru,Dog,Mudhol Hound,Indian,11,male,healthy,partial,large,5,very_high,high,intermediate,6,4,3,True,False,low,2100.0,quiet,True,5,True,"agile,fast,independent,reserved,athletic",Karnataka sighthound used by Indian Army. Needs vast space and daily running. Not suited for apartment or first-time owners.,False
Sheru,Dog,Golden Retriever,International,66,male,healthy,partial,large,3,high,moderate,intermediate,10,10,9,True,False,high,5200.0,moderate,True,5,False,"gentle,friendly,patient,trainable,playful",Outstanding family companion. Excellent with children and other pets. Heavy shedder — needs regular grooming.,True
Rocky,Dog,Kanni,Indian,18,male,healthy,up_to_date,medium,4,high,moderate,basic,4,5,3,True,False,low,1600.0,quiet,True,5,True,"gentle,loyal,agile,reserved,graceful",Rare Tamil Nadu breed. Gentle with family once bonded. Requires open space and an experienced owner.,True
Mocha,Dog,Indian Spitz,Indian,11,male,healthy,not_vaccinated,small,3,moderate,moderate,intermediate,7,7,5,False,True,high,2200.0,vocal,True,6,False,"playful,loyal,alert,vocal,adaptable","Most popular Indian apartment dog. Fluffy, affectionate, highly adaptable. Barks frequently — good watchdog.",True
Kali,Dog,Shih Tzu,International,6,female,healthy,partial,small,2,minimal,moderate,basic,7,7,8,False,True,high,3900.0,quiet,True,8,False,"affectionate,calm,adaptable,gentle,lap-dog",Excellent apartment dog. Loves attention. Needs extensive daily grooming. Good with children.,False
Leo,Dog,Rottweiler,International,55,male,healthy,up_to_date,large,3,moderate,high,intermediate,5,4,3,True,False,low,6100.0,moderate,True,5,True,"loyal,confident,protective,powerful,calm",Powerful guardian. Needs early socialization and firm training. Devoted to family. Not for first-time owners.,True
Diesel,Dog,Dachshund,International,11,male,healthy,partial,small,3,moderate,moderate,basic,6,5,5,False,True,low,3100.0,vocal,True,6,False,"curious,lively,stubborn,playful,vocal",Compact apartment dog. Stubborn but charming. Avoid stairs climbing — prone to spinal issues.,True
